TreeNo,X,Y,TreeName,DBH_2017,Height_2017,BA_2017,Volume_2017,Quadrant_2017
1,419276.43,5851659.33,Copper beech,9.5,11.6,0.007,0.033,1
2,419277.94,5851659.77,Copper beech,15.8,19.6,0.02,0.18,1
3,419277.99,5851659.86,Copper beech,12.9,17.5,0.013,0.104,1
4,419277.45,5851662.31,Copper beech,11,13.4,0.01,0.055,1
5,419280.15,5851661.05,Common pine,38.8,31.9,0.118,1.672,1
6,419281.11,5851660.75,Copper beech,7.9,9.1,0.005,0.01,1
7,419285.44,5851665.26,Common pine,39.6,31.9,0.123,1.749,1
8,419288.98,5851665.58,Common pine,32.1,28.7,0.081,1.05,1
9,419289.55,5851665.9,Common spruce,7.5,7.2,0.004,0.01,1
10,419294.18,5851665.07,Copper beech,16.8,17.4,0.022,0.179,1
11,419298.87,5851666.86,Copper beech,8,14.6,0.005,0.02,1
12,419298.27,5851668.59,Common pine,38.8,29.8,0.118,1.579,1
13,419301.37,5851668.56,Common pine,41.3,27.8,0.134,1.707,1
14,419301.71,5851665.98,Common spruce,16,18.1,0.02,0.191,1
15,419306.87,5851667.53,Common pine,33.5,28.2,0.088,1.113,1
16,419309.86,5851667.95,Copper beech,14.7,18.6,0.017,0.147,1
17,419311.53,5851668.55,Copper beech,8.3,13.5,0.005,0.024,1
18,419312.74,5851669.19,Copper beech,17.9,18.1,0.025,0.21,1
19,419309.96,5851672.62,Common pine,34.8,27.7,0.095,1.189,1
20,419313.97,5851672.68,Common pine,42.2,29.3,0.14,1.859,1
21,419316.02,5851670.58,Copper beech,10.1,9,0.008,0.028,1
22,419318.05,5851668.77,Common pine,49.3,30.2,0.191,2.602,1
23,419318.34,5851668.46,Copper beech,7,10.1,0.004,0.006,1
24,419320.08,5851669.41,Copper beech,7.8,15,0.005,0.013,1
25,419319.72,5851671.37,Copper beech,16.7,15.7,0.022,0.161,1
26,419320.24,5851672.38,Common spruce,19.3,17.7,0.029,0.265,1
27,419321.53,5851673.95,Common pine,33,30.6,0.086,1.151,1
28,419321.48,5851674.97,Copper beech,10.3,13.1,0.008,0.046,1
29,419323.71,5851675.25,Copper beech,16.5,21.1,0.021,0.211,1
30,419323.43,5851672.67,Copper beech,14.9,17.4,0.017,0.139,1
31,419324.99,585167.06,Copper beech,22.7,25.3,0.04,0.489,1
